timestamp,Residential Load Demand (kW),Solar Power Output (kW),Solar Irradiance (W/m²),Panel Temperature (°C),Ambient Temperature (°C),Humidity (%),Cloud Cover (%),Wind Speed (m/s),Atmospheric Pressure (hPa),Hour of Day,Day of Week,Month,Season,Battery Charge Status (%),Grid Feed-in Power (kW),Demand Response Events,Electricity Tariff (price),Panel Area (m²),Panel Efficiency (H),Performance Ratio (PR)
2024-04-01 00:00:00,51.040786579945525,0.0,0.0,31.017845937248463,29.568387221039128,36.196536342361476,47.43773663803545,5.576572475216542,1014.654663024336,0,0,4,Spring,0.0,0.0,0,0.26235349618811166,180.0,0.18,0.8
2024-04-01 00:15:00,49.7438810223405,0.0,0.0,28.32692374952932,28.130180127047698,67.59900334237207,36.68012715007603,4.158082839918727,1029.5883853678158,0,0,4,Spring,0.0,0.0,0,0.25949868372564133,180.0,0.18,0.8
2024-04-01 00:30:00,51.77292424471628,0.0,0.0,28.593432333990116,26.961714737515422,48.55594956673903,51.00360956645166,3.8730071885814503,995.1865705371508,0,0,4,Spring,0.0,0.0,0,0.2639651137167552,180.0,0.18,0.8
2024-04-01 00:45:00,43.74836393526916,0.0,0.0,22.20336210463612,19.541523734160855,54.32072975967111,52.52451773112971,1.0113800531008634,992.4360022965417,0,0,4,Spring,0.0,0.0,0,0.24630105588084045,180.0,0.18,0.8
2024-04-01 01:00:00,45.49035530179341,0.0,0.0,22.846252649209806,20.212623750937297,41.93777048783939,19.391718490769307,5.10447260801498,998.2546383064613,1,0,4,Spring,0.0,0.0,0,0.2501356131726241,180.0,0.18,0.8
2024-04-01 01:15:00,63.15102528263676,0.0,0.0,37.2062228776872,34.59007688198992,56.56734746098583,24.582563945101455,1.5644911236710564,1028.7099610457067,1,0,4,Spring,0.0,0.0,0,0.28901115076380635,180.0,0.18,0.8
2024-04-01 01:30:00,51.300012579798654,0.0,0.0,27.142625505593976,25.65798958760245,47.11398821697514,36.02272322533828,1.5815536108481452,1016.5482596269211,1,0,4,Spring,0.0,0.0,0,0.262924117241154,180.0,0.18,0.8
2024-04-01 01:45:00,50.39518054643849,0.0,0.0,34.41352529259115,31.862481710208833,55.47692498854484,32.47005926125134,5.340056389263964,990.8683002425067,1,0,4,Spring,0.0,0.0,0,0.26093235635299095,180.0,0.18,0.8
2024-04-01 02:00:00,43.258423181338955,0.0,0.0,24.412050946826568,21.587866907038155,60.736822302063274,27.545082664276915,3.7511045285820233,1025.2133854530102,2,0,4,Spring,0.0,0.0,0,0.24522257413481802,180.0,0.18,0.8
2024-04-01 02:15:00,50.00456714614941,0.0,0.0,23.585613079370308,23.81256681852694,56.349652469501194,20.855140503722584,4.00723751250879,1013.7473573185185,2,0,4,Spring,0.0,0.0,0,0.26007251887553234,180.0,0.18,0.8
2024-04-01 02:30:00,52.42991054708362,0.0,0.0,33.01898625277831,30.714563787526863,36.07199588603402,34.71467572321385,5.836176474204934,997.5391624070589,2,0,4,Spring,0.0,0.0,0,0.2654113043608405,180.0,0.18,0.8
2024-04-01 02:45:00,49.321783489992335,0.0,0.0,31.671046620349095,27.58999585720547,63.212775736759795,33.901827407742815,2.3962635641617283,1005.6508100342948,2,0,4,Spring,0.0,0.0,0,0.2585695418242443,180.0,0.18,0.8
2024-04-01 03:00:00,53.829160399965055,0.0,0.0,31.85920416125849,30.150668687957516,54.63036403144637,25.528245580489727,1.6448467797085515,1019.0219080912136,3,0,4,Spring,0.0,0.0,0,0.26849140213256445,180.0,0.18,0.8
2024-04-01 03:15:00,50.10419954295258,0.0,0.0,27.423650095411823,27.94546973628077,43.343893700065024,34.01792965574426,1.5961900607061041,1013.7942041191275,3,0,4,Spring,0.0,0.0,0,0.26029183462014577,180.0,0.18,0.8
2024-04-01 03:30:00,54.36305190929427,0.0,0.0,28.356653291999255,27.169312143973567,46.328227449627946,28.740074738016364,1.1936508576305747,996.8452212762245,3,0,4,Spring,0.0,0.0,0,0.26966663044853745,180.0,0.18,0.8
2024-04-01 03:45:00,47.879214751599285,0.0,0.0,25.46528539616398,25.27982468730044,63.386373193714405,18.125660296934093,5.0201508389138905,991.8844985156366,3,0,4,Spring,0.0,0.0,0,0.25539408838572275,180.0,0.18,0.8
2024-04-01 04:00:00,51.87777637722955,0.0,0.0,24.589629508153283,23.223989376279995,67.76993126450944,30.629498196971216,1.728993544635404,999.9952876238725,4,0,4,Spring,0.0,0.0,0,0.2641959194009935,180.0,0.18,0.8
2024-04-01 04:15:00,54.69082487230176,0.0,0.0,34.38673917777807,33.61080515892999,63.47124656778388,20.008431117679233,0.6975712643306464,1016.650634392924,4,0,4,Spring,0.0,0.0,0,0.27038814045685494,180.0,0.18,0.8
2024-04-01 04:30:00,55.0289453949406,0.0,0.0,37.20009187194038,34.26923642451953,66.01892629449722,34.70709433476941,4.6499605083745195,999.2775400661179,4,0,4,Spring,0.0,0.0,1,0.2711324280236604,180.0,0.18,0.8
